,0,1,2,3,4
Fair Employment And Housing Act (FEHA),Dental Assistants,Human Resources Specialists,Unclassified Occupation,Human Resources Managers,"Special Education Teachers, Middle School"
Rockworks,"Environmental Scientists and Specialists, Including Health","Medical Scientists, Except Epidemiologists",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
TRADACOMS Standard,Computer Systems Analysts,Software Developers,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing"
Enclosure (Electrical),Electrical Engineers,Electrical and Electronics Drafters,"Engineers, All Other",Automotive Body and Related Repairers,Funeral Attendants
Vector Data,"Computer Occupations, All Other","Environmental Scientists and Specialists, Including Health","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Pediatric Surgeons,Dietetic Technicians
389 Directory Server (Fedora Project),Computer and Information Systems Managers,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
Polymer Characterization,Chemists,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Chemical Engineers,Network and Computer Systems Administrators,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
Examination Of Legal Documents,Lawyers,"Special Education Teachers, Middle School",Funeral Attendants,Acupuncturists,Dietetic Technicians
Thyroid Biopsies,Medical Assistants,General Internal Medicine Physicians,"Physicians, All Other",Registered Nurses,Postsecondary Teachers
Buoyancy,Market Research Analysts and Marketing Specialists,"Healthcare Diagnosing or Treating Practitioners, All Other",Manicurists and Pedicurists,"Opticians, Dispensing",Orderlies
Colors Materials And Finish (CMF) Design,"Designers, All Other",Unclassified Occupation,"Special Education Teachers, Middle School",Pediatric Surgeons,Dietetic Technicians
Parts Locator,Unclassified Occupation,Stockers and Order Fillers,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing"
Certified Vision Rehabilitation Therapist,Training and Development Specialists,Rehabilitation Counselors,"Educational, Guidance, and Career Counselors and Advisors",Fast Food and Counter Workers,Barbers
Developmental Coordination Disorder,Occupational Therapists,Coaches and Scouts,Physical Therapists,"Special Education Teachers, Middle School",Funeral Attendants
Wireless Broadband,"Computer Occupations, All Other",Computer Network Architects,Marketing Managers,"Special Education Teachers, Middle School",Funeral Attendants
Advanced Video Coding High Definition (AVCHD),Market Research Analysts and Marketing Specialists,Acupuncturists,"Opticians, Dispensing",Orderlies,Psychiatric Aides
Apple ProRes,Market Research Analysts and Marketing Specialists,Acupuncturists,"Opticians, Dispensing",Orderlies,Psychiatric Aides
Clustal (Software),"Biological Scientists, All Other",Pediatric Surgeons,Dietetic Technicians,"Opticians, Dispensing",Orderlies
Multer,Computer Programmers,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
GenePattern,"Biological Scientists, All Other",Pediatric Surgeons,Dietetic Technicians,"Opticians, Dispensing",Orderlies
Facebook Apps,Software Developers,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Special Effects Artists and Animators,Graphic Designers,"Designers, All Other"
Freedom Of Information Laws,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Buyers and Purchasing Agents,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing"
Archival Preservation,Archivists,Library Technicians,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians
Limited Government,Editors,Public Relations Managers,Paralegals and Legal Assistants,"Special Education Teachers, Middle School",Funeral Attendants
ADP PCPW,Payroll and Timekeeping Clerks,Human Resources Managers,Unclassified Occupation,"Special Education Teachers, Middle School","Ushers, Lobby Attendants, and Ticket Takers"
Peoplesoft Integration Broker,Software Developers,Database Architects,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians
Trajectory Planning,Computer User Support Specialists,Software Developers,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians
JavaBeans Activation Framework,"Engineers, All Other",Information Security Analysts,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Directors, Religious Activities and Education","Engineering Technologists and Technicians, Except Drafters, All Other"
Oneclick,"Business Operations Specialists, All Other",Technical Writers,Unclassified Occupation,Barbers,Dietetic Technicians
JPEG 2000,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Special Education Teachers, Middle School","Ushers, Lobby Attendants, and Ticket Takers",Acupuncturists,Dietetic Technicians
IBM Websphere Integration Developer,Software Developers,Computer Network Architects,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians
HackerOne,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Computer Occupations, All Other",Information Security Analysts,"Special Education Teachers, Middle School","Opticians, Dispensing"
Refrigerator Repair,Home Appliance Repairers,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","First-Line Supervisors of Mechanics, Installers, and Repairers","Maintenance and Repair Workers, General","Special Education Teachers, Middle School"
XCF,Computer User Support Specialists,Management Analysts,Computer Programmers,"Special Education Teachers, Middle School",Barbers
Dynamic Ip,Computer User Support Specialists,"Computer Occupations, All Other",Real Estate Sales Agents,Paralegals and Legal Assistants,"Maintenance and Repair Workers, General"
Q Learning,Data Scientists,Software Developers,Barbers,Dietetic Technicians,"Opticians, Dispensing"
Pantomime,"Helpers--Installation, Maintenance, and Repair Workers",Unclassified Occupation,Computer User Support Specialists,"Special Education Teachers, Middle School",Funeral Attendants
Continuous Mandatory Ventilation,Respiratory Therapists,Medical and Health Services Managers,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing"
TextPad,"Computer Occupations, All Other",Emergency Medicine Physicians,Acupuncturists,Dietetic Technicians,"Opticians, Dispensing"
Fact Table,Software Developers,Database Architects,Database Administrators,Computer Network Architects,"Special Education Teachers, Middle School"
Nodal Analysis,Electrical Engineers,Detectives and Criminal Investigators,Mechanical Engineers,"Special Education Teachers, Middle School",Funeral Attendants
Voice Training,Self-Enrichment Teachers,Postsecondary Teachers,Public Relations Managers,"Special Education Teachers, Middle School",Barbers
Biodefense,Buyers and Purchasing Agents,"Property, Real Estate, and Community Association Managers",Computer and Information Research Scientists,"Inspectors, Testers, Sorters, Samplers, and Weighers","Special Education Teachers, Middle School"
Gestational Hypertension,Registered Nurses,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
UltraEdit,"Computer Occupations, All Other",Emergency Medicine Physicians,Acupuncturists,Dietetic Technicians,"Opticians, Dispensing"
Brucellosis,Computer and Information Research Scientists,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
Function Model,Data Scientists,Software Developers,Computer Systems Analysts,Management Analysts,Purchasing Managers
Environmental Pollutants,Clinical Laboratory Technologists and Technicians,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Operations Research Analysts,Environmental Engineers,"Special Education Teachers, Middle School"
Webservice Client,Management Analysts,Database Administrators,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing"
WAN Interface Card,Computer Network Support Specialists,Computer and Information Systems Managers,Database Administrators,Manicurists and Pedicurists,Orderlies
Preboot Execution Environment,"Managers, All Other",Computer Systems Analysts,Software Developers,"Special Education Teachers, Middle School",Funeral Attendants
Qualitative Inorganic Analysis,"Inspectors, Testers, Sorters, Samplers, and Weighers","Special Education Teachers, Middle School",Dietetic Technicians,"Opticians, Dispensing",Orderlies
Document And Media Exploitation,Unclassified Occupation,Helpers--Production Workers,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians
PDF Split And Merge,"Mail Clerks and Mail Machine Operators, Except Postal Service","Special Education Teachers, Middle School",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Image Matching,"Computer Occupations, All Other",Data Scientists,Software Developers,Computer Programmers,Barbers
Microsoft Macro Assembler,"Library Assistants, Clerical","Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
Certified Broadcast Technologist,Sound Engineering Technicians,"Special Education Teachers, Middle School","Ushers, Lobby Attendants, and Ticket Takers",Acupuncturists,Dietetic Technicians
Microstrip,Mechanical Engineers,"Engineering Technologists and Technicians, Except Drafters, All Other",Commercial and Industrial Designers,Computer Hardware Engineers,Electrical and Electronics Drafters
FAST ESP,Software Developers,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Delegated Examining Certification,Human Resources Specialists,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
Radiobiology,Postsecondary Teachers,Natural Sciences Managers,Radiation Therapists,"Medical Scientists, Except Epidemiologists",First-Line Supervisors of Office and Administrative Support Workers
HP BASIC,Computer Systems Analysts,Computer User Support Specialists,"Computer Occupations, All Other",Software Developers,Buyers and Purchasing Agents
Mantoux Tests,Licensed Practical and Licensed Vocational Nurses,Medical and Health Services Managers,Unclassified Occupation,"Special Education Teachers, Middle School",Barbers
Traffic Calming,Police and Sheriff's Patrol Officers,Civil Engineers,"Social Scientists and Related Workers, All Other","First-Line Supervisors of Mechanics, Installers, and Repairers",Unclassified Occupation
Video Memory,First-Line Supervisors of Retail Sales Workers,Software Developers,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians
Electronic Intelligence,Unclassified Occupation,"Engineers, All Other",Software Quality Assurance Analysts and Testers,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Forest and Conservation Workers
Swing Trading,Software Developers,Stockers and Order Fillers,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing"
Quantum Cryptography,"Business Operations Specialists, All Other",Postsecondary Teachers,"Engineers, All Other",Information Security Analysts,"Opticians, Dispensing"
Gallium Nitride,"Engineers, All Other",Sales Managers,"Ushers, Lobby Attendants, and Ticket Takers",Acupuncturists,Dietetic Technicians
Credit-Linked Notes,Financial Managers,"Special Education Teachers, Middle School",Pediatric Surgeons,Dietetic Technicians,"Opticians, Dispensing"
Particle Swarm Optimization,"Computer Occupations, All Other",Emergency Medicine Physicians,Acupuncturists,Dietetic Technicians,"Opticians, Dispensing"
Operational View,Administrative Services Managers,"Computer Occupations, All Other",Commercial and Industrial Designers,General and Operations Managers,"Special Education Teachers, Middle School"
Certified Specialist in Sports Dietetics,Dietitians and Nutritionists,Coaches and Scouts,Dietetic Technicians,Funeral Attendants,"Opticians, Dispensing"
BASIC Stamp,Industrial Engineering Technologists and Technicians,Electro-Mechanical and Mechatronics Technologists and Technicians,"Special Education Teachers, Middle School","Opticians, Dispensing",Orderlies
Multiple Axes,Computer Numerically Controlled Tool Operators,Unclassified Occupation,"Computer Occupations, All Other","Special Education Teachers, Middle School","Ushers, Lobby Attendants, and Ticket Takers"
Farm Property,Agricultural Technicians,Real Estate Sales Agents,Medical and Health Services Managers,"Farmers, Ranchers, and Other Agricultural Managers",Conservation Scientists
Master Certified Negotiation Expert,Computer Network Support Specialists,Network and Computer Systems Administrators,"Special Education Teachers, Middle School",Pediatric Surgeons,Dietetic Technicians
Intestate,Paralegals and Legal Assistants,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Environmental Anthropology,Postsecondary Teachers,"Environmental Scientists and Specialists, Including Health","Special Education Teachers, Middle School","Ushers, Lobby Attendants, and Ticket Takers",Acupuncturists
Adobe Flash Professional,Market Research Analysts and Marketing Specialists,Special Effects Artists and Animators,Web Developers,Manicurists and Pedicurists,Orderlies
Forest Restoration,Unclassified Occupation,First-Line Supervisors of Retail Sales Workers,"Special Education Teachers, Middle School",Pediatric Surgeons,Dietetic Technicians
Certification In Clinical Biochemical Genetics,"Biological Scientists, All Other",Genetic Counselors,Acupuncturists,"Opticians, Dispensing",Orderlies
Permanent Mold Casting,Mechanical Engineers,Industrial Engineers,Industrial Production Managers,First-Line Supervisors of Retail Sales Workers,Purchasing Managers
Dysmorphology,"Biological Scientists, All Other",Postsecondary Teachers,Genetic Counselors,Funeral Attendants,Dietetic Technicians
Participant Observation,"Managers, All Other",Web Developers,Market Research Analysts and Marketing Specialists,Social Science Research Assistants,"Educational, Guidance, and Career Counselors and Advisors"
Teradata Certified Professional,Database Administrators,Network and Computer Systems Administrators,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing"
Windows Package Management,Marketing Managers,"Special Education Teachers, Middle School",Funeral Attendants,Acupuncturists,Dietetic Technicians
EMC VPLEX,Software Quality Assurance Analysts and Testers,"Computer Occupations, All Other",Database Administrators,"Special Education Teachers, Middle School","Opticians, Dispensing"
Deeplearning4j,Operations Research Analysts,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
Mathematical Physics,"Computer Occupations, All Other","Life Scientists, All Other",Natural Sciences Managers,Management Analysts,"Special Education Teachers, Middle School"
Fileshare,Network and Computer Systems Administrators,Management Analysts,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians
Web Modeling,Software Developers,Photographers,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians
Microsoft Office Specialist Master,Software Developers,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Optical Mapping,Postsecondary Teachers,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Vacuum Deposition,"Engineers, All Other",Clinical Laboratory Technologists and Technicians,Mechanical Engineering Technologists and Technicians,Natural Sciences Managers,Operations Research Analysts
Antibody-Dependent Cell-Mediated Cytotoxicity,Software Developers,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Windows Messaging,"Computer Occupations, All Other","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Maintenance and Repair Workers, General","Special Education Teachers, Middle School",Barbers
Data Facility Storage Management,Software Developers,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Marbleizing,"Fine Artists, Including Painters, Sculptors, and Illustrators","Special Education Teachers, Middle School",Acupuncturists,"Opticians, Dispensing",Orderlies
Oracle Flashback,Database Architects,Database Administrators,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing"
Sequential Access,"Computer Occupations, All Other",Emergency Medicine Physicians,Acupuncturists,Dietetic Technicians,"Opticians, Dispensing"
Registered Physician In Vascular Interpretation (RPVI),Cardiologists,"Physicians, All Other",Natural Sciences Managers,"Special Education Teachers, Middle School",Funeral Attendants
Wine Processing,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",First-Line Supervisors of Production and Operating Workers,"Special Education Teachers, Middle School","Ushers, Lobby Attendants, and Ticket Takers",Dietetic Technicians
Amazon Timestream,Accountants and Auditors,Network and Computer Systems Administrators,Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
Financial Aid Information Sessions,Unclassified Occupation,Financial Managers,"Special Education Teachers, Middle School",Funeral Attendants,"Opticians, Dispensing"
Certified Plant Supervision,General and Operations Managers,Funeral Attendants,Acupuncturists,Dietetic Technicians,"Opticians, Dispensing"
Stage Props,Industrial Production Managers,Set and Exhibit Designers,Music Directors and Composers,"First-Line Supervisors of Mechanics, Installers, and Repairers",Producers and Directors
Polyclonal Antibodies,Operations Research Analysts,Financial Managers,Computer User Support Specialists,"Special Education Teachers, Middle School",Funeral Attendants
Eclampsia,Nursing Assistants,Funeral Attendants,Acupuncturists,Dietetic Technicians,"Opticians, Dispensing"
Hyperemesis Gravidarum,Nursing Assistants,Funeral Attendants,Acupuncturists,Dietetic Technicians,"Opticians, Dispensing"
Federal Estate And Gift Tax,Paralegals and Legal Assistants,Real Estate Sales Agents,"Administrative Law Judges, Adjudicators, and Hearing Officers","Special Education Teachers, Middle School",Barbers
Polygonal Modeling,"Fine Artists, Including Painters, Sculptors, and Illustrators",Special Effects Artists and Animators,"Designers, All Other","Special Education Teachers, Middle School",Barbers
Gaussian Process,Operations Research Analysts,Statisticians,Natural Sciences Managers,Unclassified Occupation,Data Scientists
Key Generator,Data Scientists,Marketing Managers,"Legal Support Workers, All Other",Software Developers,Barbers
Crimeware,Unclassified Occupation,Information Security Analysts,"Special Education Teachers, Middle School",Pediatric Surgeons,Dietetic Technicians
ComponentOne,"Computer Occupations, All Other",Software Developers,Barbers,Dietetic Technicians,"Opticians, Dispensing"
MicroStrategy Software Development Kit,Software Developers,Data Scientists,Database Administrators,Barbers,"Opticians, Dispensing"
Serotype,"Biological Scientists, All Other","Engineering Technologists and Technicians, Except Drafters, All Other",Dietetic Technicians,"Opticians, Dispensing",Orderlies
MIDAS Civil,Civil Engineers,"Special Education Teachers, Middle School",Pediatric Surgeons,Dietetic Technicians,"Opticians, Dispensing"
Splice Machine,"Computer Occupations, All Other","Production Workers, All Other",Forest and Conservation Workers,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Opticians, Dispensing"
Ethnology,Web Developers,"Computer Occupations, All Other",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
Text Database,Market Research Analysts and Marketing Specialists,Registered Nurses,Technical Writers,Orderlies,Psychiatric Aides
Ns (Simulator),Software Developers,Information Security Analysts,Computer Systems Analysts,Web Developers,Barbers
Avionics Full-Duplex Switched Ethernet,Software Developers,Electrical Engineers,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians
Soak Testing,Software Quality Assurance Analysts and Testers,Software Developers,"Computer Occupations, All Other","Special Education Teachers, Middle School",Dietetic Technicians
Pundit,Software Developers,Editors,Computer User Support Specialists,Management Analysts,"Computer Occupations, All Other"
Structural Family Therapy,Medical and Health Services Managers,Healthcare Social Workers,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing"
Elementary Diagram,"Maintenance and Repair Workers, General","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians
DbFit,Computer Systems Analysts,Software Developers,Database Administrators,"Special Education Teachers, Middle School",Barbers
FileMan,Pharmacists,Architectural and Engineering Managers,"Managers, All Other","Special Education Teachers, Middle School",Funeral Attendants
Oracle Text,Computer Systems Analysts,Unclassified Occupation,Computer User Support Specialists,"Special Education Teachers, Middle School",Funeral Attendants
Drill Cuttings,"Geoscientists, Except Hydrologists and Geographers",Civil Engineering Technologists and Technicians,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians
Environmental Interpretation,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Recreation Workers,First-Line Supervisors of Office and Administrative Support Workers,"Special Education Teachers, Middle School",Barbers
Diode-Pumped Solid-State Laser,"Health Technologists and Technicians, All Other","Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing",Orderlies
Dimension Table,Software Developers,Database Architects,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians
Provider Model,Software Developers,Computer User Support Specialists,Occupational Therapists,"Computer Occupations, All Other","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
National Disaster Medical Systems,Medical and Health Services Managers,Natural Sciences Managers,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing"
Virtual Hosting,"Computer Occupations, All Other",Computer User Support Specialists,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Barbers,Dietetic Technicians
Natural Rubber,"Production Workers, All Other",Fast Food and Counter Workers,"Special Education Teachers, Middle School","Opticians, Dispensing",Orderlies
Nitrogen Washout,Respiratory Therapists,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
Alimony,Lawyers,"Special Education Teachers, Middle School",Funeral Attendants,Acupuncturists,Dietetic Technicians
ISight,Aerospace Engineers,Materials Engineers,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Proofreaders and Copy Markers
Vertical Integration,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Pediatric Surgeons,Dietetic Technicians,"Opticians, Dispensing",Orderlies
Frequency Allocation,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales Managers,Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
High Intensity Training,Medical and Health Services Managers,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing",Orderlies
Catalog Merchant,Marketing Managers,"Special Education Teachers, Middle School",Funeral Attendants,Acupuncturists,Dietetic Technicians
Six Degrees Of Freedom,Software Developers,Architectural and Engineering Managers,Barbers,Dietetic Technicians,"Opticians, Dispensing"
Chromecast,Unclassified Occupation,Computer User Support Specialists,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Electrical and Electronic Engineering Technologists and Technicians,Lodging Managers
Drug Recognition Expert,Police and Sheriff's Patrol Officers,"Special Education Teachers, Middle School",Funeral Attendants,Acupuncturists,Dietetic Technicians
Building Energy Codes,"Engineers, All Other",Marketing Managers,Project Management Specialists,Unclassified Occupation,Operations Research Analysts
Film Coating,Chemical Engineers,Industrial Production Managers,Chemists,Marketing Managers,Industrial Engineers
Base Address,Retail Salespersons,Sales Managers,Data Scientists,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Funeral Attendants
Climate Information,Information Security Analysts,Data Scientists,Atmospheric and Space Scientists,Funeral Attendants,Dietetic Technicians
Information Economics,"Compensation, Benefits, and Job Analysis Specialists","Special Education Teachers, Middle School","Ushers, Lobby Attendants, and Ticket Takers",Acupuncturists,Dietetic Technicians
Microsoft Basic Data Partition,Financial and Investment Analysts,"Laborers and Freight, Stock, and Material Movers, Hand",Industrial Truck and Tractor Operators,Unclassified Occupation,Data Scientists
Hereditary Breast And Ovarian Cancer,Market Research Analysts and Marketing Specialists,Administrative Services Managers,Unclassified Occupation,"Computer Occupations, All Other",Financial and Investment Analysts
Flow Assurance,"Production, Planning, and Expediting Clerks",General and Operations Managers,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Transportation, Storage, and Distribution Managers",Industrial Engineers
Oil Fields,Heavy and Tractor-Trailer Truck Drivers,"Maintenance Workers, Machinery","Managers, All Other","Mobile Heavy Equipment Mechanics, Except Engines","Telecommunications Equipment Installers and Repairers, Except Line Installers"
Object Pascal,Software Developers,"Computer Occupations, All Other",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Unified Expression Languages,Data Scientists,Funeral Attendants,Acupuncturists,Dietetic Technicians,"Opticians, Dispensing"
Model View Presenter,Web Developers,Software Developers,Computer Systems Analysts,"Managers, All Other","Special Education Teachers, Middle School"
Borland Database Engine,Computer User Support Specialists,Barbers,Dietetic Technicians,"Opticians, Dispensing",Orderlies
Product Availability Matrix,"Computer Occupations, All Other",Project Management Specialists,Acupuncturists,"Opticians, Dispensing",Orderlies
Xforms,Software Developers,Project Management Specialists,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing"
Base Conversion,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Writers and Authors,Barbers,"Opticians, Dispensing",Orderlies
IndexedDB,Software Developers,Computer Programmers,Web Developers,"Special Education Teachers, Middle School",Barbers
Peoplesoft Travel And Expense Management,Network and Computer Systems Administrators,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
Certified Exporter,Compliance Officers,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Lasix,Nuclear Medicine Technologists,Registered Nurses,Veterinary Technologists and Technicians,"Special Education Teachers, Middle School","Opticians, Dispensing"
Laboratory Diagnosis Of Viral Infections,Industrial Production Managers,"Managers, All Other","Special Education Teachers, Middle School",Funeral Attendants,"Opticians, Dispensing"
Space Surveillance,Information Security Analysts,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
Native API,Software Developers,"Computer Occupations, All Other",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Moral Reasoning,Data Scientists,"Teachers and Instructors, All Other",Postsecondary Teachers,Medical and Health Services Managers,Social Science Research Assistants
DipTrace,"Life, Physical, and Social Science Technicians, All Other","Computer Occupations, All Other",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Heartsaver First Aid,Registered Nurses,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
Audio Mastering,"Managers, All Other","Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
GeoMedia,"Computer Occupations, All Other",Computer and Information Research Scientists,Software Developers,Management Analysts,Manicurists and Pedicurists
Endotracheal Suctioning,Licensed Practical and Licensed Vocational Nurses,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Java Persistence Query Language,Software Developers,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Membrane Bioreactor,Industrial Production Managers,Customer Service Representatives,"Special Education Teachers, Middle School",Funeral Attendants,"Opticians, Dispensing"
Chronic Prostatitis/Chronic Pelvic Pain Syndrome,Financial and Investment Analysts,Real Estate Sales Agents,Barbers,"Opticians, Dispensing",Orderlies
Administrative Procedure Act,Lawyers,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Judges, Magistrate Judges, and Magistrates",Chief Executives,Information Security Analysts
Certified Professional Property Specialist,Financial and Investment Analysts,Real Estate Sales Agents,Barbers,"Opticians, Dispensing",Orderlies
Molecular Biophysics,"Education Administrators, Postsecondary",Natural Sciences Managers,Computer and Information Research Scientists,Librarians and Media Collections Specialists,"Special Education Teachers, Middle School"
Scientific Document Preparation,Technical Writers,"Special Education Teachers, Middle School",Funeral Attendants,Acupuncturists,Dietetic Technicians
Dump Analyzer,Software Developers,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Heap Size,Software Developers,Data Scientists,Computer User Support Specialists,Barbers,Dietetic Technicians
Forced Draft Systems,Stationary Engineers and Boiler Operators,Machinists,"Airline Pilots, Copilots, and Flight Engineers","Special Education Teachers, Middle School","Ushers, Lobby Attendants, and Ticket Takers"
EnterpriseDB,Database Architects,Software Developers,Data Scientists,Sales Engineers,Funeral Attendants
Sampled Data Systems,Electrical and Electronics Drafters,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing",Orderlies
Herpes,"Dentists, General",Natural Sciences Managers,"Special Education Teachers, Middle School",Funeral Attendants,"Opticians, Dispensing"
High-Complexity Clinical Laboratory Director,Operations Research Analysts,Medical Secretaries and Administrative Assistants,Natural Sciences Managers,"Special Education Teachers, Middle School",Funeral Attendants
Ada (Programming Language),Software Developers,Software Quality Assurance Analysts and Testers,"Computer Occupations, All Other","Special Education Teachers, Middle School",Dietetic Technicians
Twitter Marketing,Market Research Analysts and Marketing Specialists,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Unclassified Occupation,Barbers,"Opticians, Dispensing"
Bulletproof Glass,Heavy and Tractor-Trailer Truck Drivers,Cashiers,Stonemasons,Forest and Conservation Workers,Dietetic Technicians
Partial Thromboplastin Time,Clinical Laboratory Technologists and Technicians,"Health Technologists and Technicians, All Other","Special Education Teachers, Middle School",Manicurists and Pedicurists,Orderlies
CP System,First-Line Supervisors of Retail Sales Workers,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Mechanical Engineers,"Engineering Technologists and Technicians, Except Drafters, All Other",Barbers
Liver Function Tests,Clinical Laboratory Technologists and Technicians,"Health Technologists and Technicians, All Other","Special Education Teachers, Middle School",Manicurists and Pedicurists,Orderlies
Soil Compaction,Construction Managers,Civil Engineers,"Managers, All Other",Unclassified Occupation,Construction and Building Inspectors
Knowledge-Based Engineering,"Engineering Technologists and Technicians, Except Drafters, All Other","Special Education Teachers, Middle School",Acupuncturists,Dietetic Technicians,"Opticians, Dispensing"
Military Computers,Military-only occupations,"Special Education Teachers, Middle School","Ushers, Lobby Attendants, and Ticket Takers",Acupuncturists,Dietetic Technicians
XSL Formatting Objects,Software Developers,"Special Education Teachers, Middle School",Barbers,Dietetic Technicians,"Opticians, Dispensing"
Project Appraisal,Construction Laborers,Zoologists and Wildlife Biologists,"Engineers, All Other",Financial Managers,Financial and Investment Analysts
