,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs,model,Normalized RMSE
Skill subcat: Data Collection,0.0159094259942928,0.016027024030234,0.7391720856766765,4338.75,predicted job posting shares 23_16_01_10_05_2023 VAR top grid search runs #10 lvl subcategory,0.0322540134448334
Skill subcat: Data Management,0.0347919782777084,0.0268994414423018,-22.68493263708271,10261.875,predicted job posting shares 22_40_25_10_05_2023 VAR top grid search runs #8 lvl subcategory,0.0635150009341097
Skill subcat: Data Science,0.0309872601066141,0.0240093034479193,-22.518792028358074,8726.979166666666,predicted job posting shares 05_42_30_11_05_2023 VAR top grid search runs #18 lvl subcategory,0.0133747276806792
Skill subcat: Data Storage,0.008786812435311,0.0075471392074715,-14.10833834187362,2551.770833333333,predicted job posting shares 14_16_37_09_05_2023 ARIMA top grid search runs #10 lvl subcategory,0.0156205937258312
Skill subcat: Data Visualization,0.0080511824922975,0.0079765114614224,-0.9274542087020958,1873.7708333333333,predicted job posting shares 22_58_01_10_05_2023 VAR top grid search runs #9 lvl subcategory,0.0088091740882779
Skill subcat: Database Architecture and Administration,0.0115939006024152,0.0107415557684216,-7.351665873485599,3872.8958333333335,predicted job posting shares 03_40_54_11_05_2023 VAR top grid search runs #14 lvl subcategory,0.0340411404977277
Skill subcat: Databases,0.0324307888402229,0.0204914956887799,-36.81468622383636,9957.625,predicted job posting shares 05_29_01_11_05_2023 VAR top grid search runs #17 lvl subcategory,0.005463622580165
Skill subcat: Dermatology,0.0013902791955066,0.001443394561079,3.820481939460048,443.0416666666667,predicted job posting shares 03_40_54_11_05_2023 VAR top grid search runs #14 lvl subcategory,0.0080662668328611
Skill subcat: Dictation,0.0042989182306251,0.0043367799170099,0.8807259025090695,1379.9583333333333,predicted job posting shares 13_36_26_09_05_2023 ARIMA top grid search runs #0 lvl subcategory,0.085121098157204
Skill subcat: Digital Design,0.0030368767718004,0.0033498617944689,10.306148263070549,966.3125,predicted job posting shares 05_29_01_11_05_2023 VAR top grid search runs #17 lvl subcategory,0.0302533841537224
Skill subcat: Digital Marketing,0.015875550769256,0.0154429207359422,-2.725134010163706,5116.1875,predicted job posting shares 05_42_30_11_05_2023 VAR top grid search runs #18 lvl subcategory,0.0223610297129543
Skill subcat: Disaster Management,0.0056304831111095,0.0034973973681947,-37.884595350370745,1400.3541666666667,predicted job posting shares 03_40_54_11_05_2023 VAR top grid search runs #14 lvl subcategory,0.0275627080338601
Skill subcat: Distributed Computing,0.0050236384144488,0.0048361094160675,-3.7329318495920543,1494.8541666666667,predicted job posting shares 18_07_54_10_05_2023 VAR top grid search runs #4 lvl subcategory,0.0133450948394672
Skill subcat: Document Management,0.0208444079960301,0.0228281915723669,9.517102029065155,6017.541666666667,predicted job posting shares 16_01_39_10_05_2023 VAR top grid search runs #0 lvl subcategory,0.0078478230428401
Skill subcat: Drafting and Engineering Design,0.0213133914977306,0.0210115959455919,-1.4159902809031324,6286.0625,predicted job posting shares 06_01_09_11_05_2023 VAR top grid search runs #19 lvl subcategory,0.0349161042279752
Skill subcat: E-Commerce,0.0046569312435152,0.0044971510239096,-3.4310195115741715,1395.4166666666667,predicted job posting shares 22_40_25_10_05_2023 VAR top grid search runs #8 lvl subcategory,0.0168183654122697
"Skill subcat: Ear, Nose, and Throat",0.0025479836356202,0.0125582408062924,392.8697590805218,310.75,predicted job posting shares 21_45_23_10_05_2023 VAR top grid search runs #7 lvl subcategory,0.0095433878072507
Skill subcat: Earth and Space Science,0.002751344991002,0.0023191370754019,-15.70896841412446,754.5625,predicted job posting shares 19_11_14_10_05_2023 VAR top grid search runs #5 lvl subcategory,0.0373340381980256
Skill subcat: Ecology,0.0009868733254807,0.0034329771916358,247.8640168902749,195.45833333333331,predicted job posting shares 02_29_39_11_05_2023 VAR top grid search runs #13 lvl subcategory,0.015293838118974
Skill subcat: Economics,0.0186460195797245,0.0085320688897707,-54.24187530593184,5102.979166666667,predicted job posting shares 21_33_19_10_05_2023 VAR top grid search runs #6 lvl subcategory,0.0042794787211227
Skill subcat: Education Administration,0.0055529438296343,0.0138991133072327,150.30170903327965,1237.7083333333333,predicted job posting shares 01_17_54_11_05_2023 VAR top grid search runs #12 lvl subcategory,0.0269673226200139
Skill subcat: Education Software and Technology,0.005909947062634,0.013521358959099,128.7898489749361,1543.2291666666667,predicted job posting shares 18_07_54_10_05_2023 VAR top grid search runs #4 lvl subcategory,0.0123474844657379
Skill subcat: Electrical Construction,0.0020413122861314,0.0062399018741126,205.68090519545996,605.7708333333334,predicted job posting shares 06_01_09_11_05_2023 VAR top grid search runs #19 lvl subcategory,0.0121446681081028
Skill subcat: Electrical Power,0.0045066861221349,0.0035776965566179,-20.61358480135111,1349.9583333333333,predicted job posting shares 23_16_01_10_05_2023 VAR top grid search runs #10 lvl subcategory,0.0173450613254878
Skill subcat: Electrical and Computer Engineering,0.0188037170820009,0.016926689285166,-9.982216753471628,4730.208333333333,predicted job posting shares 02_29_39_11_05_2023 VAR top grid search runs #13 lvl subcategory,0.0509970863904779
Skill subcat: Electromechanical Engineering,0.0019895011118007,0.0018399907943951,-7.514965260324893,617.9166666666666,predicted job posting shares 02_29_39_11_05_2023 VAR top grid search runs #13 lvl subcategory,0.034568282378762
Skill subcat: Electronic Hardware,0.0032602216429557,0.0031220849751938,-4.237033026891575,1003.7291666666666,predicted job posting shares 16_11_33_10_05_2023 VAR top grid search runs #1 lvl subcategory,0.0120468035347589
Skill subcat: Electronic Trading,0.0005758006290751,0.0008644334237759,50.12721072646736,225.72916666666663,predicted job posting shares 02_29_39_11_05_2023 VAR top grid search runs #13 lvl subcategory,0.0046320210084596
Skill subcat: Electronics Engineering,0.0049536667803236,0.0039667872574321,-19.92220241400717,1469.7083333333333,predicted job posting shares 21_33_19_10_05_2023 VAR top grid search runs #6 lvl subcategory,0.0052224589835788
Skill subcat: Electronics Manufacturing,0.0004973564199444,0.0004046030527107,-18.64927515041808,133.125,predicted job posting shares 13_36_26_09_05_2023 ARIMA top grid search runs #0 lvl subcategory,0.4856375561770943
"Skill subcat: Elements, Compounds, and Materials",0.004041264912705,0.0060673470214159,50.1348501638996,1047.4791666666667,predicted job posting shares 17_12_47_10_05_2023 VAR top grid search runs #3 lvl subcategory,0.0038956325457785
Skill subcat: Emergency Services,0.0111933266432229,0.0137166159330007,22.54280045785628,2561.8541666666665,predicted job posting shares 19_11_14_10_05_2023 VAR top grid search runs #5 lvl subcategory,0.0061919136387681
Skill subcat: Emergency and Intensive Care,0.0484813569508564,0.056595486819745,16.73659810535743,14034.729166666666,predicted job posting shares 01_17_54_11_05_2023 VAR top grid search runs #12 lvl subcategory,0.0167800238711828
Skill subcat: Employee Relations,0.014318658271365,0.0183653569825912,28.26171722611009,3400.6041666666665,predicted job posting shares 16_11_33_10_05_2023 VAR top grid search runs #1 lvl subcategory,0.0805716145787222
